sep=,
"Nombre","Saldo actual","Cuentas","Transferencias","Descripción","Beneficiario","Categoría","Fecha","Hora","Memoria","Importe","Moneda","Número de cheque","Etiquetas","Saldo"
"Roboadvisor","4595,19","EUR","","","","","","","","","","","",""
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","07/04/2024","6:43","","-52,76","EUR","","Pablo; ","3028,15"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","01/04/2024","13:32","","45,00","EUR","","Pablo; ","3080,91"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","29/03/2024","22:57","","13,80","EUR","","Pablo; ","3035,91"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","25/03/2024","10:12","","45,00","EUR","","Pablo; ","3022,11"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","23/03/2024","20:46","","5,53","EUR","","Pablo; ","2977,11"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","22/03/2024","21:41","","40,72","EUR","","Pablo; ","2971,58"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","18/03/2024","12:14","","45,00","EUR","","Pablo; ","2930,86"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","17/03/2024","14:11","","11,12","EUR","","Pablo; ","2885,86"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","11/03/2024","7:12","","45,00","EUR","","Pablo; ","2874,74"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","10/03/2024","14:35","","14,29","EUR","","Pablo; ","2829,74"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","08/03/2024","17:46","","1,16","EUR","","Pablo; ","2815,45"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","04/03/2024","17:56","","45,00","EUR","","Pablo; ","2814,29"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","03/03/2024","8:50","","11,44","EUR","","Pablo; ","2769,29"
